datetime,1,3,5,7,9
1983-10-01 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-02 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-03 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-04 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-05 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-06 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-07 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-08 23:00:00,1.6569231671315653e-08,2.550777737741117e-08,1.7348435465936308e-08,3.641286106021316e-08,4.6718987049879853e-08
1983-10-09 23:00:00,6.265497869915432e-08,6.970721814367507e-08,7.391036660582931e-08,4.0621026246636e-08,4.043667404739945e-08
1983-10-10 23:00:00,2.055997511854878e-08,5.606760581334432e-08,4.7493996443571865e-08,1.7992560234334735e-08,1.9478472294630828e-08
1983-10-11 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-12 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-13 23:00:00,7.616405133847837e-08,8.459850593849464e-08,1.079281833436754e-07,1.2063191996680366e-07,9.644371491891367e-08
1983-10-14 23:00:00,7.427957736783557e-09,1.0457358978412769e-08,7.370309559283433e-09,3.772357823672118e-08,3.5575920784914934e-08
1983-10-15 23:00:00,1.5825812739354594e-08,1.8250209589799244e-08,1.0961151371399562e-08,1.6752389018182401e-09,2.5729332809095028e-08
1983-10-16 23:00:00,2.3997434311442906e-08,1.798914952410592e-08,1.505382083080433e-08,1.2858285292707108e-09,1.0591338354128379e-08
1983-10-17 23:00:00,3.44472019760697e-08,1.6525488484788823e-08,2.2046851615111033e-08,2.9727816581726073e-10,2.8379057982453593e-09
1983-10-18 23:00:00,1.7630405448101184e-09,8.588189397145201e-10,6.088132418140217e-10,0.0,1.164671589827372e-10
1983-10-19 23:00:00,1.1365573715280604e-08,1.1626021177680403e-08,1.2302524237721054e-08,0.0,2.421740511501277e-10
