,1,3,5,7,9
area,10620000.0,14000000.0,23477500.0,245000.0,6352500.0
1983-10-01 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-02 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-03 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-04 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-05 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-06 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-07 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-08 23:00:00,0.17596523708767361,0.35710890028211806,0.4072978606047454,0.008921150631374783,0.29678236219618054
1983-10-09 23:00:00,0.6653958695023148,0.9759009693287037,1.7352307581018518,0.00995215239348235,0.2568739827473958
1983-10-10 23:00:00,0.21834694191261575,0.7849464699074075,1.1150404188368055,0.004408177269829644,0.1237370130750868
1983-10-11 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-12 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-10-13 23:00:00,0.8088623046875,1.1843790690104166,2.5338838252314817,0.029554816351996527,0.61265869140625
1983-10-14 23:00:00,0.07888492160373264,0.1464030287000868,0.17303645381221064,0.009242275379322193,0.22599604853877314
1983-10-15 23:00:00,0.16807013617621527,0.25550295229311343,0.2573404269748264,0.0004104335661287661,0.16344558150679978
1983-10-16 23:00:00,0.2548527470341435,0.25184807671440973,0.3534260841652199,0.0003150280095912792,0.06728147718641493
1983-10-17 23:00:00,0.3658292869285301,0.23135685673466436,0.51760498046875,7.283315062522888e-05,0.018027797275119356
1983-10-18 23:00:00,0.018723492092556422,0.012023465191876448,0.014293413515444156,0.0,0.0007398575323599357
1983-10-19 23:00:00,0.12070239031756366,0.16276430483217594,0.2888324878833912,0.0,0.0015384107165866427
1983-10-20 23:00:00,0.034423443829571757,0.07242214061595775,0.09956310130931713,0.0,0.00012310051255755953
1983-10-21 23:00:00,0.01597245392975984,0.04316867404513889,0.05601450602213542,0.0,0.00010627274160031919
1983-10-22 23:00:00,0.007406275713885272,0.019940112078631365,0.037746138396086516,0.0,0.0
1983-10-23 23:00:00,0.23748933015046297,0.5886716941550926,0.6768089011863426,0.005767602214106807,0.1654350111219618
1983-10-24 23:00:00,2.8918722161540277e-05,3.087379314281322e-05,6.041239809106898e-05,0.0,0.0
1983-10-25 23:00:00,3.6492917893661394e-07,0.0004042460300304272,0.0005653364570052536,0.0,0.0
1983-10-26 23:00:00,0.00011874860083615338,0.00045712108965273256,0.0007312953913653339,0.0,0.0
1983-10-27 23:00:00,2.892410037694154e-05,0.00014271962421911734,0.0008274444827327022,0.0,0.0
1983-10-28 23:00:00,0.0,2.939638164308336e-05,0.0002878422428060461,0.0,0.0
1983-10-29 23:00:00,0.0,3.861946916138684e-05,0.0013002692328559027,0.0,0.0
1983-10-30 23:00:00,0.32040059407552085,0.6949480070891204,0.8659200484664352,0.006794961999963831,0.1939748580367477
1983-10-31 23:00:00,0.4204097493489583,0.3948024269386574,0.9948267505787037,0.004826204158641674,0.10657641375506366
1983-11-01 23:00:00,0.5282444480613426,0.5582441767939815,1.1592958803530093,0.005619094283492477,0.14052798800998265
1983-11-02 23:00:00,0.0,0.0,8.970343956240902e-05,0.0,0.0
1983-11-03 23:00:00,0.0,0.0,0.0,0.0,0.0
1983-11-04 23:00:00,0.5549810564959491,0.825533763744213,1.401503002025463,0.010459752259431063,0.26134688765914355
1983-11-05 23:00:00,0.03664161682128906,0.052486905698423035,0.06600377965856481,0.001238461070590549,0.041792206940827546
1983-11-06 23:00:00,1.6553823061342592,3.079978660300926,4.394180410879629,0.04776268287941261,1.355306712962963
1983-11-07 23:00:00,0.02005449930826823,0.04180389969437211,0.07633474279333044,0.0010204501505251284,0.03217001173231337
1983-11-08 23:00:00,0.0031625362678810403,0.003876511255900065,0.00498734368218316,0.00022148127909059877,0.003926302591959635
1983-11-09 23:00:00,0.2216716625072338,0.24946501555266204,0.4459795464409722,0.0030442831251356337,0.10396206325954861
1983-11-10 23:00:00,1.722096896701389,2.513240921585648,3.6135387731481483,0.025642143532081888,0.7589890769675925
1983-11-11 23:00:00,1.710099826388889,3.0857902922453704,4.693374204282407,0.02999031632034867,0.7298958333333333
1983-11-12 23:00:00,0.9255772569444445,0.9100585033275463,1.7848949291087963,0.013749602988914207,0.3397925708912037
1983-11-13 23:00:00,0.256871337890625,0.21660540545428242,0.330052490234375,0.00304374270968967,0.10300257930049189
1983-11-14 23:00:00,0.006892353340431496,0.019092032821090132,0.01760006798638238,0.0008910914703651711,0.01425323486328125
1983-11-15 23:00:00,0.09470522845232929,0.10404527452256944,0.1560693359375,0.003182061513264974,0.1037461683485243
1983-11-16 23:00:00,0.4444183575665509,0.6386733669704862,0.8450442165798611,0.01046232576723452,0.35902418348524306
1983-11-17 23:00:00,3.4941399016203705,5.507442853009259,8.931313657407408,0.09305356061017071,2.2437541594328705
1983-11-18 23:00:00,0.1019315027307581,0.04364295676902488,0.1254996066623264,0.0023797337214152016,0.05427999990957755
1983-11-19 23:00:00,0.2018119529441551,0.0932356544777199,0.19030598958333333,0.01092269120392976,0.1824250962999132
1983-11-20 23:00:00,0.02969809920699508,0.008336958002161096,0.046729806970666955,0.0015854148511533384,0.012660162183973525
1983-11-21 23:00:00,0.013957494099934896,0.010310648458975332,0.025842547946506075,0.0005052710462499548,0.010251098208957247
1983-11-22 23:00:00,0.0031120088365342883,0.002816327412923177,0.0016204115196510598,8.676618337631225e-05,0.003530793719821506
